record_id,signal_id,direction,version,event_kind,index_id,index_name,match_status,primary_match,episode_id,event_date,region_id,anchor_date,region_start,region_end,region_form,lobe_count,matched_lobe_id,match_level,strict_matched,loose_matched,timing,lead_lag_days,absolute_distance_days,window_days,primary_episode_id_for_region,coverage_start_date,coverage_end_date,prediction_window_complete,confirmation_window_complete,label_version,diagnostic_region_id,diagnostic_timing,diagnostic_region_form,diagnostic_assignment
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::capped_confirmation::cni2000::matched::multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000009,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,capped_confirmation,cni2000,国证2000,matched,True,multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000009,2014-05-08,cni2000_medium_bottom_20140429,2014-04-29,2014-04-28,2014-05-21,multi_lobe,3,,envelope,False,True,confirmation,5,5,5,multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000009,2012-01-04,2026-08-14,True,True,top_bottom_regions_v2,cni2000_medium_bottom_20140429,confirmation,multi_lobe,primary_match
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::capped_confirmation::cni2000::matched::multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000010,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,capped_confirmation,cni2000,国证2000,matched,True,multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000010,2015-07-14,cni2000_medium_bottom_20150709,2015-07-09,2015-07-08,2015-07-09,single_lobe,1,,confirmation_window,False,False,confirmation,3,3,5,multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000010,2012-01-04,2026-08-14,True,True,top_bottom_regions_v2,cni2000_medium_bottom_20150709,confirmation,single_lobe,primary_match
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::capped_confirmation::cni2000::matched::multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000011,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,capped_confirmation,cni2000,国证2000,matched,True,multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000011,2015-07-20,cni2000_medium_bottom_20150630,2015-06-30,2015-06-30,2015-06-30,single_lobe,1,,confirmation_window,False,False,confirmation,14,14,20,multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000011,2012-01-04,2026-08-14,True,True,top_bottom_regions_v2,cni2000_medium_bottom_20150630,confirmation,single_lobe,primary_match
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::capped_confirmation::cni2000::matched::multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000012,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,capped_confirmation,cni2000,国证2000,matched,True,multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000012,2015-08-05,cni2000_medium_bottom_20150803,2015-08-03,2015-08-03,2015-08-04,single_lobe,1,,confirmation_window,False,False,confirmation,2,2,5,multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000012,2012-01-04,2026-08-14,True,True,top_bottom_regions_v2,cni2000_medium_bottom_20150803,confirmation,single_lobe,primary_match
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::capped_confirmation::cni2000::missed_region::cni2000_medium_bottom_20150902,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,capped_confirmation,cni2000,国证2000,missed_region,False,,,cni2000_medium_bottom_20150902,2015-09-02,2015-09-02,2015-09-08,multi_lobe,2,,,False,False,,,,,,2012-01-04,2026-08-14,True,True,top_bottom_regions_v2,,,,
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::capped_confirmation::cni2000::matched::multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000013,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,capped_confirmation,cni2000,国证2000,matched,True,multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000013,2015-09-22,cni2000_medium_bottom_20150915,2015-09-15,2015-09-15,2015-09-16,single_lobe,1,,confirmation_window,False,False,confirmation,5,5,5,multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000013,2012-01-04,2026-08-14,True,True,top_bottom_regions_v2,cni2000_medium_bottom_20150915,confirmation,single_lobe,primary_match
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::capped_confirmation::cni2000::matched::multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000014,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,capped_confirmation,cni2000,国证2000,matched,True,multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000014,2016-02-04,cni2000_medium_bottom_20160129,2016-01-29,2016-01-27,2016-02-01,single_lobe,1,,confirmation_window,False,False,confirmation,4,4,5,multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000014,2012-01-04,2026-08-14,True,True,top_bottom_regions_v2,cni2000_medium_bottom_20160129,confirmation,single_lobe,primary_match
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::capped_confirmation::cni2000::matched::multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000015,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,capped_confirmation,cni2000,国证2000,matched,True,multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000015,2016-03-04,cni2000_medium_bottom_20160301,2016-03-01,2016-02-29,2016-03-01,single_lobe,1,,confirmation_window,False,False,confirmation,3,3,5,multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000015,2012-01-04,2026-08-14,True,True,top_bottom_regions_v2,cni2000_medium_bottom_20160301,confirmation,single_lobe,primary_match
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::capped_confirmation::cni2000::duplicate_alarm::multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000016,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,capped_confirmation,cni2000,国证2000,duplicate_alarm,False,multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000016,2016-03-08,cni2000_medium_bottom_20160301,2016-03-01,2016-02-29,2016-03-01,single_lobe,1,,confirmation_window,False,False,confirmation,5,5,5,multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000015,2012-01-04,2026-08-14,True,True,top_bottom_regions_v2,cni2000_medium_bottom_20160301,confirmation,single_lobe,duplicate_candidate
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::capped_confirmation::cni2000::matched::multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000017,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,capped_confirmation,cni2000,国证2000,matched,True,multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000017,2016-05-26,cni2000_medium_bottom_20160512,2016-05-12,2016-05-12,2016-05-26,multi_lobe,3,cni2000_medium_bottom_20160512_lobe_03,core_lobe,True,True,confirmation,10,10,10,multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000017,2012-01-04,2026-08-14,True,True,top_bottom_regions_v2,cni2000_medium_bottom_20160512,confirmation,multi_lobe,primary_match
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::capped_confirmation::cni2000::duplicate_alarm::multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000018,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,capped_confirmation,cni2000,国证2000,duplicate_alarm,False,multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000018,2016-12-20,cni2000_medium_bottom_20170116,2017-01-16,2017-01-16,2017-01-17,single_lobe,1,,prediction_window,False,False,prediction,-18,18,20,multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000019,2012-01-04,2026-08-14,True,True,top_bottom_regions_v2,cni2000_medium_bottom_20170116,prediction,single_lobe,duplicate_candidate
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::capped_confirmation::cni2000::matched::multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000019,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,capped_confirmation,cni2000,国证2000,matched,True,multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000019,2017-01-24,cni2000_medium_bottom_20170116,2017-01-16,2017-01-16,2017-01-17,single_lobe,1,,confirmation_window,False,False,confirmation,6,6,10,multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000019,2012-01-04,2026-08-14,True,True,top_bottom_regions_v2,cni2000_medium_bottom_20170116,confirmation,single_lobe,primary_match
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::capped_confirmation::cni2000::duplicate_alarm::multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000020,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,capped_confirmation,cni2000,国证2000,duplicate_alarm,False,multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000020,2017-05-03,cni2000_medium_bottom_20170602,2017-06-02,2017-05-24,2017-06-02,multi_lobe,2,,prediction_window,False,False,prediction,-20,20,20,multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000022,2012-01-04,2026-08-14,True,True,top_bottom_regions_v2,cni2000_medium_bottom_20170602,prediction,multi_lobe,duplicate_candidate
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::capped_confirmation::cni2000::duplicate_alarm::multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000021,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,capped_confirmation,cni2000,国证2000,duplicate_alarm,False,multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000021,2017-05-17,cni2000_medium_bottom_20170602,2017-06-02,2017-05-24,2017-06-02,multi_lobe,2,,prediction_window,False,False,prediction,-10,10,10,multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000022,2012-01-04,2026-08-14,True,True,top_bottom_regions_v2,cni2000_medium_bottom_20170602,prediction,multi_lobe,duplicate_candidate
