date,signal_id,direction,raw_value,triggered,universe_size,valid_count,version,high_low_window,new_high_low_net_ratio,new_high_low_net_change_5d,change_available,new_high_count,new_low_count,new_high_low_net_count,new_high_ratio,new_low_ratio,high_low_valid_count,episode_id,episode_number,episode_day,episode_stage,event_onset,event_continuation,event_exit,event_capped_confirmation,capped_confirmation_reason,capped_confirmation_n
2012-02-24,new_high_low_120_breadth_reversal_bottom,bottom,0.01452178267,False,2057,1997,new_high_low_period_decomposition_v1_20120104_20260814,120,0.01452178267,0.01252178267,True,29,0,29,0.01452178267,0.0,1997,,,,inactive,False,False,False,False,,2
2012-02-27,new_high_low_120_breadth_reversal_bottom,bottom,0.02259036145,False,2057,1992,new_high_low_period_decomposition_v1_20120104_20260814,120,0.02259036145,0.014566289232999999,True,45,0,45,0.02259036145,0.0,1992,,,,inactive,False,False,False,False,,2
2012-02-28,new_high_low_120_breadth_reversal_bottom,bottom,0.01253761284,False,2056,1994,new_high_low_period_decomposition_v1_20120104_20260814,120,0.01253761284,0.006552575434000001,True,25,0,25,0.01253761284,0.0,1994,,,,inactive,False,False,False,False,,2
2012-02-29,new_high_low_120_breadth_reversal_bottom,bottom,0.006490264603,False,2056,2003,new_high_low_period_decomposition_v1_20120104_20260814,120,0.006490264603,-0.000991032155,True,13,0,13,0.006490264603,0.0,2003,,,,inactive,False,False,False,False,,2
2012-03-01,new_high_low_120_breadth_reversal_bottom,bottom,0.008466135458,False,2055,2008,new_high_low_period_decomposition_v1_20120104_20260814,120,0.008466135458,-0.004533864541999999,True,17,0,17,0.008466135458,0.0,2008,,,,inactive,False,False,False,False,,2
2012-03-02,new_high_low_120_breadth_reversal_bottom,bottom,0.01597603595,False,2055,2003,new_high_low_period_decomposition_v1_20120104_20260814,120,0.01597603595,0.001454253279999998,True,33,1,32,0.01647528707,0.0004992511233,2003,,,,inactive,False,False,False,False,,2
2012-03-05,new_high_low_120_breadth_reversal_bottom,bottom,0.03203203203,False,2055,1998,new_high_low_period_decomposition_v1_20120104_20260814,120,0.03203203203,0.009441670579999999,True,65,1,64,0.03253253253,0.0005005005005,1998,,,,inactive,False,False,False,False,,2
2012-03-06,new_high_low_120_breadth_reversal_bottom,bottom,0.01749125437,False,2055,2001,new_high_low_period_decomposition_v1_20120104_20260814,120,0.01749125437,0.00495364153,True,37,2,35,0.01849075462,0.0009995002499,2001,,,,inactive,False,False,False,False,,2
2012-03-07,new_high_low_120_breadth_reversal_bottom,bottom,0.01348651349,False,2055,2002,new_high_low_period_decomposition_v1_20120104_20260814,120,0.01348651349,0.0069962488869999995,True,29,2,27,0.01448551449,0.000999000999,2002,,,,inactive,False,False,False,False,,2
2012-03-08,new_high_low_120_breadth_reversal_bottom,bottom,0.006979062812,False,2055,2006,new_high_low_period_decomposition_v1_20120104_20260814,120,0.006979062812,-0.0014870726460000008,True,14,0,14,0.006979062812,0.0,2006,,,,inactive,False,False,False,False,,2
2012-03-09,new_high_low_120_breadth_reversal_bottom,bottom,0.01919191919,False,2055,1980,new_high_low_period_decomposition_v1_20120104_20260814,120,0.01919191919,0.0032158832400000018,True,38,0,38,0.01919191919,0.0,1980,,,,inactive,False,False,False,False,,2
2012-03-12,new_high_low_120_breadth_reversal_bottom,bottom,0.02804206309,False,2055,1997,new_high_low_period_decomposition_v1_20120104_20260814,120,0.02804206309,-0.003989968939999998,True,56,0,56,0.02804206309,0.0,1997,,,,inactive,False,False,False,False,,2
2012-03-13,new_high_low_120_breadth_reversal_bottom,bottom,0.01998001998,False,2055,2002,new_high_low_period_decomposition_v1_20120104_20260814,120,0.01998001998,0.002488765609999999,True,40,0,40,0.01998001998,0.0,2002,,,,inactive,False,False,False,False,,2
2012-03-14,new_high_low_120_breadth_reversal_bottom,bottom,0.03980099502,False,2055,2010,new_high_low_period_decomposition_v1_20120104_20260814,120,0.03980099502,0.026314481530000003,True,81,1,80,0.04029850746,0.0004975124378,2010,,,,inactive,False,False,False,False,,2
2012-03-15,new_high_low_120_breadth_reversal_bottom,bottom,0.005015045135,False,2055,1994,new_high_low_period_decomposition_v1_20120104_20260814,120,0.005015045135,-0.0019640176769999997,True,14,4,10,0.00702106319,0.002006018054,1994,,,,inactive,False,False,False,False,,2
2012-03-16,new_high_low_120_breadth_reversal_bottom,bottom,0.02370146243,False,2055,1983,new_high_low_period_decomposition_v1_20120104_20260814,120,0.02370146243,0.00450954324,True,48,1,47,0.02420574887,0.0005042864347,1983,,,,inactive,False,False,False,False,,2
2012-03-19,new_high_low_120_breadth_reversal_bottom,bottom,0.02804206309,False,2055,1997,new_high_low_period_decomposition_v1_20120104_20260814,120,0.02804206309,0.0,True,57,1,56,0.02854281422,0.0005007511267,1997,,,,inactive,False,False,False,False,,2
2012-03-20,new_high_low_120_breadth_reversal_bottom,bottom,0.007575757576,False,2054,1980,new_high_low_period_decomposition_v1_20120104_20260814,120,0.007575757576,-0.012404262404,True,16,1,15,0.008080808081,0.0005050505051,1980,,,,inactive,False,False,False,False,,2
2012-03-21,new_high_low_120_breadth_reversal_bottom,bottom,0.01061141991,False,2054,1979,new_high_low_period_decomposition_v1_20120104_20260814,120,0.01061141991,-0.02918957511,True,24,3,21,0.01212733704,0.00151591713,1979,,,,inactive,False,False,False,False,,2
