index_id,index_name,signal_id,threshold_level,event_type,lead_window_days,event_count,matched_event_count,event_recall,evaluable_trigger_days,hit_signal_days,signal_precision,unconditional_window_event_rate,precision_lift,conditional_baseline_days,conditional_window_event_rate,conditional_precision_lift,median_nearest_lead_days
sse_composite,上证指数,four_industry_top1_exit,large,top,0,2,0,0.0,106,0,0.0,0.00176522506619594,0.0,663,0.0015082956259426848,0.0,
sse_composite,上证指数,four_industry_top1_exit,large,top,5,2,0,0.0,105,0,0.0,0.010638297872340425,0.0,660,0.00909090909090909,0.0,
sse_composite,上证指数,four_industry_top1_exit,large,top,10,2,0,0.0,104,0,0.0,0.019590382902938557,0.0,659,0.024279210925644917,0.0,
sse_composite,上证指数,four_industry_top1_exit,large,top,20,2,2,1.0,104,2,0.019230769230769232,0.03773584905660377,0.5096153846153847,659,0.04400606980273141,0.43700265251989395,16.5
sse_composite,上证指数,four_industry_top1_exit,large,bottom,0,3,1,0.3333333333333333,106,1,0.009433962264150943,0.00264783759929391,3.562893081761006,663,0.0030165912518853697,3.1273584905660377,0.0
sse_composite,上证指数,four_industry_top1_exit,large,bottom,5,3,1,0.3333333333333333,105,2,0.01904761904761905,0.015957446808510637,1.1936507936507939,660,0.012121212121212121,1.5714285714285716,0.0
sse_composite,上证指数,four_industry_top1_exit,large,bottom,10,3,2,0.6666666666666666,104,3,0.028846153846153848,0.029385574354407838,0.9816433566433567,659,0.015174506828528073,1.9009615384615386,3.5
sse_composite,上证指数,four_industry_top1_exit,large,bottom,20,3,3,1.0,104,5,0.04807692307692308,0.05660377358490566,0.8493589743589743,659,0.025796661608497723,1.8636877828054301,7.0
sse_composite,上证指数,market_breadth_cross_up_50,small,top,0,26,1,0.038461538461538464,59,1,0.01694915254237288,0.02294792586054722,0.7385919165580183,515,0.03300970873786408,0.5134596211365902,0.0
sse_composite,上证指数,market_breadth_cross_up_50,small,top,5,25,7,0.28,59,9,0.15254237288135594,0.13297872340425532,1.1471186440677967,510,0.1843137254901961,0.8276235124413992,4.0
sse_composite,上证指数,market_breadth_cross_up_50,small,top,10,25,12,0.48,59,15,0.2542372881355932,0.2404274265360641,1.0574387947269304,505,0.30495049504950494,0.8337001981069777,5.0
sse_composite,上证指数,market_breadth_cross_up_50,small,top,20,25,19,0.76,58,24,0.41379310344827586,0.44294699011680144,0.9341819962229838,504,0.5158730158730159,0.8021220159151192,7.0
sse_composite,上证指数,market_breadth_cross_up_50,small,bottom,0,26,0,0.0,59,0,0.0,0.02294792586054722,0.0,515,0.001941747572815534,0.0,
sse_composite,上证指数,market_breadth_cross_up_50,small,bottom,5,26,4,0.15384615384615385,59,4,0.06779661016949153,0.1374113475177305,0.49338436303991257,510,0.049019607843137254,1.383050847457627,5.0
sse_composite,上证指数,market_breadth_cross_up_50,small,bottom,10,26,6,0.23076923076923078,59,8,0.13559322033898305,0.24309884238646481,0.5577699137021171,505,0.11485148514851486,1.1805961426066627,5.0
sse_composite,上证指数,market_breadth_cross_up_50,small,bottom,20,26,15,0.5769230769230769,58,21,0.3620689655172414,0.44025157232704404,0.8224137931034483,504,0.29365079365079366,1.232991612301957,13.0
sse_composite,上证指数,market_breadth_cross_up_50,medium,top,0,10,0,0.0,59,0,0.0,0.0088261253309797,0.0,515,0.013592233009708738,0.0,
sse_composite,上证指数,market_breadth_cross_up_50,medium,top,5,10,4,0.4,59,4,0.06779661016949153,0.05319148936170213,1.2745762711864406,510,0.09019607843137255,0.7516580692704495,4.5
sse_composite,上证指数,market_breadth_cross_up_50,medium,top,10,10,5,0.5,59,6,0.1016949152542373,0.09795191451469279,1.0382126348228045,505,0.1485148514851485,0.6847457627118645,5.0
sse_composite,上证指数,market_breadth_cross_up_50,medium,top,20,10,7,0.7,58,9,0.15517241379310345,0.18867924528301888,0.8224137931034482,504,0.24404761904761904,0.6358284272497898,5.0
sse_composite,上证指数,market_breadth_cross_up_50,medium,bottom,0,10,0,0.0,59,0,0.0,0.0088261253309797,0.0,515,0.001941747572815534,0.0,
sse_composite,上证指数,market_breadth_cross_up_50,medium,bottom,5,10,2,0.2,59,2,0.03389830508474576,0.05319148936170213,0.6372881355932203,510,0.0196078431372549,1.728813559322034,4.0
sse_composite,上证指数,market_breadth_cross_up_50,medium,bottom,10,10,2,0.2,59,3,0.05084745762711865,0.09795191451469279,0.5191063174114022,505,0.04950495049504951,1.0271186440677966,4.0
sse_composite,上证指数,market_breadth_cross_up_50,medium,bottom,20,10,6,0.6,58,9,0.15517241379310345,0.18508535489667566,0.8383829929695347,504,0.11904761904761904,1.3034482758620691,13.0
sse_composite,上证指数,market_breadth_cross_up_50,large,top,0,2,0,0.0,59,0,0.0,0.00176522506619594,0.0,515,0.003883495145631068,0.0,
sse_composite,上证指数,market_breadth_cross_up_50,large,top,5,2,1,0.5,59,1,0.01694915254237288,0.010638297872340425,1.5932203389830508,510,0.023529411764705882,0.7203389830508474,5.0
sse_composite,上证指数,market_breadth_cross_up_50,large,top,10,2,1,0.5,59,1,0.01694915254237288,0.019590382902938557,0.8651771956856703,505,0.033663366336633666,0.5034895314057826,5.0
sse_composite,上证指数,market_breadth_cross_up_50,large,top,20,2,1,0.5,58,1,0.017241379310344827,0.03773584905660377,0.45689655172413796,504,0.05357142857142857,0.3218390804597701,5.0
sse_composite,上证指数,market_breadth_cross_up_50,large,bottom,0,3,0,0.0,59,0,0.0,0.00264783759929391,0.0,515,0.0,,
sse_composite,上证指数,market_breadth_cross_up_50,large,bottom,5,3,0,0.0,59,0,0.0,0.015957446808510637,0.0,510,0.0,,
sse_composite,上证指数,market_breadth_cross_up_50,large,bottom,10,3,0,0.0,59,0,0.0,0.029385574354407838,0.0,505,0.0019801980198019802,0.0,
sse_composite,上证指数,market_breadth_cross_up_50,large,bottom,20,3,1,0.3333333333333333,58,1,0.017241379310344827,0.05660377358490566,0.30459770114942525,504,0.023809523809523808,0.7241379310344828,15.0
sse_composite,上证指数,market_breadth_cross_down_50,small,top,0,26,1,0.038461538461538464,58,1,0.017241379310344827,0.02294792586054722,0.7513262599469496,618,0.014563106796116505,1.1839080459770115,0.0
sse_composite,上证指数,market_breadth_cross_down_50,small,top,5,25,6,0.24,58,6,0.10344827586206896,0.13297872340425532,0.7779310344827586,618,0.09061488673139159,1.1416256157635467,3.0
sse_composite,上证指数,market_breadth_cross_down_50,small,top,10,25,7,0.28,58,9,0.15517241379310345,0.2404274265360641,0.6454022988505748,618,0.18770226537216828,0.8266944114149822,4.0
sse_composite,上证指数,market_breadth_cross_down_50,small,top,20,25,15,0.6,58,19,0.3275862068965517,0.44294699011680144,0.7395607470098622,609,0.3825944170771757,0.8562231759656652,11.0
sse_composite,上证指数,market_breadth_cross_down_50,small,bottom,0,26,1,0.038461538461538464,58,1,0.017241379310344827,0.02294792586054722,0.7513262599469496,618,0.040453074433656956,0.42620689655172417,0.0
sse_composite,上证指数,market_breadth_cross_down_50,small,bottom,5,26,7,0.2692307692307692,58,8,0.13793103448275862,0.1374113475177305,1.0037819799777532,618,0.21035598705501618,0.6557029177718833,2.0
sse_composite,上证指数,market_breadth_cross_down_50,small,bottom,10,26,11,0.4230769230769231,58,15,0.25862068965517243,0.24309884238646481,1.0638499431602881,618,0.3478964401294498,0.7433841218925422,3.0
sse_composite,上证指数,market_breadth_cross_down_50,small,bottom,20,26,20,0.7692307692307693,58,31,0.5344827586206896,0.44025157232704404,1.214039408866995,609,0.5615763546798029,0.9517543859649122,9.0
sse_composite,上证指数,market_breadth_cross_down_50,medium,top,0,10,1,0.1,58,1,0.017241379310344827,0.0088261253309797,1.953448275862069,618,0.0048543689320388345,3.5517241379310347,0.0
sse_composite,上证指数,market_breadth_cross_down_50,medium,top,5,10,3,0.3,58,3,0.05172413793103448,0.05319148936170213,0.9724137931034482,618,0.022653721682847898,2.2832512315270934,1.0
sse_composite,上证指数,market_breadth_cross_down_50,medium,top,10,10,3,0.3,58,4,0.06896551724137931,0.09795191451469279,0.7040752351097178,618,0.05663430420711974,1.2177339901477833,1.0
sse_composite,上证指数,market_breadth_cross_down_50,medium,top,20,10,5,0.5,58,8,0.13793103448275862,0.18867924528301888,0.7310344827586206,609,0.14285714285714285,0.9655172413793104,5.0
sse_composite,上证指数,market_breadth_cross_down_50,medium,bottom,0,10,0,0.0,58,0,0.0,0.0088261253309797,0.0,618,0.014563106796116505,0.0,
sse_composite,上证指数,market_breadth_cross_down_50,medium,bottom,5,10,2,0.2,58,3,0.05172413793103448,0.05319148936170213,0.9724137931034482,618,0.08090614886731391,0.6393103448275862,2.0
sse_composite,上证指数,market_breadth_cross_down_50,medium,bottom,10,10,4,0.4,58,6,0.10344827586206896,0.09795191451469279,1.0561128526645767,618,0.13754045307443366,0.752129817444219,5.5
sse_composite,上证指数,market_breadth_cross_down_50,medium,bottom,20,10,7,0.7,58,11,0.1896551724137931,0.18508535489667566,1.0246903247405423,609,0.23973727422003285,0.7910958904109588,9.0
sse_composite,上证指数,market_breadth_cross_down_50,large,top,0,2,0,0.0,58,0,0.0,0.00176522506619594,0.0,618,0.0,,
sse_composite,上证指数,market_breadth_cross_down_50,large,top,5,2,0,0.0,58,0,0.0,0.010638297872340425,0.0,618,0.0,,
sse_composite,上证指数,market_breadth_cross_down_50,large,top,10,2,0,0.0,58,0,0.0,0.019590382902938557,0.0,618,0.008090614886731391,0.0,
sse_composite,上证指数,market_breadth_cross_down_50,large,top,20,2,0,0.0,58,0,0.0,0.03773584905660377,0.0,609,0.024630541871921183,0.0,
sse_composite,上证指数,market_breadth_cross_down_50,large,bottom,0,3,0,0.0,58,0,0.0,0.00264783759929391,0.0,618,0.0048543689320388345,0.0,
sse_composite,上证指数,market_breadth_cross_down_50,large,bottom,5,3,0,0.0,58,0,0.0,0.015957446808510637,0.0,618,0.02912621359223301,0.0,
sse_composite,上证指数,market_breadth_cross_down_50,large,bottom,10,3,1,0.3333333333333333,58,1,0.017241379310344827,0.029385574354407838,0.5867293625914315,618,0.05177993527508091,0.3329741379310345,9.0
sse_composite,上证指数,market_breadth_cross_down_50,large,bottom,20,3,2,0.6666666666666666,58,2,0.034482758620689655,0.05660377358490566,0.6091954022988505,609,0.08374384236453201,0.411764705882353,11.5
