region_id,lobe_id,index_id,index_name,event_type,scale,lobe_number,lobe_start,lobe_end,lobe_start_position,lobe_end_position,representative_date,representative_position,representative_price,relative_anchor_price,core_days,gap_from_previous_lobe,small_pivot_count,small_pivot_dates,label_version
sse_composite_medium_top_20110718,sse_composite_medium_top_20110718_lobe_01,sse_composite,上证指数,top,medium,1,2011-07-05,2011-07-22,2778,2791,2011-07-18,2787,2826.96,0.0,14,,1,2011-07-18,top_bottom_regions_v1
sse_composite_medium_bottom_20110809,sse_composite_medium_bottom_20110809_lobe_01,sse_composite,上证指数,bottom,medium,1,2011-08-09,2011-08-09,2803,2803,2011-08-09,2803,2437.68,0.0,1,,1,2011-08-09,top_bottom_regions_v1
sse_composite_medium_top_20110816,sse_composite_medium_top_20110816_lobe_01,sse_composite,上证指数,top,medium,1,2011-08-12,2011-08-18,2806,2810,2011-08-16,2808,2636.36,0.0,5,,1,2011-08-16,top_bottom_regions_v1
sse_composite_medium_top_20110816,sse_composite_medium_top_20110816_lobe_02,sse_composite,上证指数,top,medium,2,2011-08-25,2011-08-30,2815,2818,2011-08-26,2816,2616.64,-0.007480010317255759,4,4,1,2011-08-26,top_bottom_regions_v1
sse_composite_medium_top_20110816,sse_composite_medium_top_20110816_lobe_03,sse_composite,上证指数,top,medium,3,2011-09-01,2011-09-01,2820,2820,2011-09-01,2820,2584.8,-0.01955726835485283,1,1,0,,top_bottom_regions_v1
sse_composite_medium_bottom_20111024,sse_composite_medium_bottom_20111024_lobe_01,sse_composite,上证指数,bottom,medium,1,2011-09-30,2011-10-12,2840,2843,2011-10-12,2843,2318.63,0.004975835988123789,4,,1,2011-10-12,top_bottom_regions_v1
sse_composite_medium_bottom_20111024,sse_composite_medium_bottom_20111024_lobe_02,sse_composite,上证指数,bottom,medium,2,2011-10-20,2011-10-24,2849,2851,2011-10-24,2851,2307.15,0.0,3,5,1,2011-10-24,top_bottom_regions_v1
sse_composite_medium_top_20111104,sse_composite_medium_top_20111104_lobe_01,sse_composite,上证指数,top,medium,1,2011-11-01,2011-11-16,2857,2868,2011-11-04,2860,2536.78,0.0,12,,1,2011-11-04,top_bottom_regions_v1
sse_composite_medium_bottom_20120106,sse_composite_medium_bottom_20120106_lobe_01,sse_composite,上证指数,bottom,medium,1,2011-12-16,2011-12-19,2890,2891,2011-12-19,2891,2164.89,0.015126862137360808,2,,0,,top_bottom_regions_v1
sse_composite_medium_bottom_20120106,sse_composite_medium_bottom_20120106_lobe_02,sse_composite,上证指数,bottom,medium,2,2011-12-22,2011-12-22,2894,2894,2011-12-22,2894,2149.42,0.007872908099388898,1,2,0,,top_bottom_regions_v1
sse_composite_medium_bottom_20120106,sse_composite_medium_bottom_20120106_lobe_03,sse_composite,上证指数,bottom,medium,3,2011-12-27,2011-12-29,2897,2899,2011-12-28,2898,2134.02,0.0006517773828558227,3,2,0,,top_bottom_regions_v1
sse_composite_medium_bottom_20120106,sse_composite_medium_bottom_20120106_lobe_04,sse_composite,上证指数,bottom,medium,4,2012-01-04,2012-01-09,2901,2904,2012-01-06,2903,2132.63,0.0,4,1,1,2012-01-06,top_bottom_regions_v1
sse_composite_medium_top_20120227,sse_composite_medium_top_20120227_lobe_01,sse_composite,上证指数,top,medium,1,2012-02-24,2012-03-06,2933,2940,2012-02-27,2934,2478.38,0.0,8,,1,2012-02-27,top_bottom_regions_v1
sse_composite_medium_top_20120227,sse_composite_medium_top_20120227_lobe_02,sse_composite,上证指数,top,medium,2,2012-03-09,2012-03-13,2943,2945,2012-03-13,2945,2457.22,-0.00853783519879936,3,2,0,,top_bottom_regions_v1
sse_composite_medium_bottom_20120329,sse_composite_medium_bottom_20120329_lobe_01,sse_composite,上证指数,bottom,medium,1,2012-03-28,2012-04-05,2956,2959,2012-03-29,2957,2242.35,0.0,4,,1,2012-03-29,top_bottom_regions_v1
sse_composite_medium_bottom_20120329,sse_composite_medium_bottom_20120329_lobe_02,sse_composite,上证指数,bottom,medium,2,2012-04-09,2012-04-11,2961,2963,2012-04-10,2962,2258.85,0.00735835172921262,3,1,0,,top_bottom_regions_v1
sse_composite_medium_top_20120504,sse_composite_medium_top_20120504_lobe_01,sse_composite,上证指数,top,medium,1,2012-04-20,2012-05-14,2970,2984,2012-05-04,2978,2453.73,0.0,15,,1,2012-05-04,top_bottom_regions_v1
sse_composite_medium_bottom_20121204,sse_composite_medium_bottom_20121204_lobe_01,sse_composite,上证指数,bottom,medium,1,2012-11-28,2012-12-05,3120,3125,2012-12-04,3124,1949.46,0.0,6,,1,2012-12-04,top_bottom_regions_v1
sse_composite_medium_top_20130218,sse_composite_medium_top_20130218_lobe_01,sse_composite,上证指数,top,medium,1,2013-02-01,2013-02-20,3164,3172,2013-02-18,3170,2444.8,0.0,9,,1,2013-02-18,top_bottom_regions_v1
sse_composite_medium_bottom_20130502,sse_composite_medium_bottom_20130502_lobe_01,sse_composite,上证指数,bottom,medium,1,2013-04-08,2013-04-08,3203,3203,2013-04-08,3203,2180.67,0.009036897193148263,1,,0,,top_bottom_regions_v1
sse_composite_medium_bottom_20130502,sse_composite_medium_bottom_20130502_lobe_02,sse_composite,上证指数,bottom,medium,2,2013-04-15,2013-04-19,3208,3212,2013-04-16,3209,2165.78,0.0021470150013420675,5,4,0,,top_bottom_regions_v1
sse_composite_medium_bottom_20130502,sse_composite_medium_bottom_20130502_lobe_03,sse_composite,上证指数,bottom,medium,3,2013-04-23,2013-05-03,3214,3219,2013-05-02,3218,2161.14,0.0,6,1,1,2013-05-02,top_bottom_regions_v1
sse_composite_medium_top_20130529,sse_composite_medium_top_20130529_lobe_01,sse_composite,上证指数,top,medium,1,2013-05-17,2013-06-04,3229,3241,2013-05-29,3237,2334.33,0.0,13,,1,2013-05-29,top_bottom_regions_v1
sse_composite_medium_bottom_20130625,sse_composite_medium_bottom_20130625_lobe_01,sse_composite,上证指数,bottom,medium,1,2013-06-25,2013-06-25,3253,3253,2013-06-25,3253,1849.65,0.0,1,,1,2013-06-25,top_bottom_regions_v1
sse_composite_medium_top_20130912,sse_composite_medium_top_20130912_lobe_01,sse_composite,上证指数,top,medium,1,2013-09-10,2013-09-17,3308,3313,2013-09-12,3310,2270.27,0.0,6,,1,2013-09-12,top_bottom_regions_v1
sse_composite_medium_top_20130912,sse_composite_medium_top_20130912_lobe_02,sse_composite,上证指数,top,medium,2,2013-10-11,2013-10-16,3324,3327,2013-10-14,3325,2242.98,-0.012020596669118588,4,10,1,2013-10-14,top_bottom_regions_v1
sse_composite_medium_bottom_20131114,sse_composite_medium_bottom_20131114_lobe_01,sse_composite,上证指数,bottom,medium,1,2013-10-29,2013-10-29,3336,3336,2013-10-29,3336,2093.2,0.006835049711638952,1,,0,,top_bottom_regions_v1
sse_composite_medium_bottom_20131114,sse_composite_medium_bottom_20131114_lobe_02,sse_composite,上证指数,bottom,medium,2,2013-11-07,2013-11-15,3343,3349,2013-11-14,3348,2078.99,0.0,7,6,1,2013-11-14,top_bottom_regions_v1
sse_composite_medium_top_20131204,sse_composite_medium_top_20131204_lobe_01,sse_composite,上证指数,top,medium,1,2013-11-28,2013-12-11,3358,3367,2013-12-04,3362,2260.87,0.0,10,,1,2013-12-04,top_bottom_regions_v1
sse_composite_medium_bottom_20140120,sse_composite_medium_bottom_20140120_lobe_01,sse_composite,上证指数,bottom,medium,1,2014-01-10,2014-01-22,3388,3396,2014-01-20,3394,1984.82,0.0,9,,1,2014-01-20,top_bottom_regions_v1
sse_composite_medium_bottom_20140120,sse_composite_medium_bottom_20140120_lobe_02,sse_composite,上证指数,bottom,medium,2,2014-02-07,2014-02-07,3403,3403,2014-02-07,3403,2014.7,0.01505426184742209,1,6,0,,top_bottom_regions_v1
sse_composite_medium_top_20140220,sse_composite_medium_top_20140220_lobe_01,sse_composite,上证指数,top,medium,1,2014-02-17,2014-02-17,3409,3409,2014-02-17,3409,2136.45,-0.019068127347358632,1,,0,,top_bottom_regions_v1
sse_composite_medium_top_20140220,sse_composite_medium_top_20140220_lobe_02,sse_composite,上证指数,top,medium,2,2014-02-19,2014-02-20,3411,3412,2014-02-20,3412,2177.98,0.0,2,1,1,2014-02-20,top_bottom_regions_v1
sse_composite_medium_bottom_20140312,sse_composite_medium_bottom_20140312_lobe_01,sse_composite,上证指数,bottom,medium,1,2014-03-10,2014-03-17,3424,3429,2014-03-12,3426,1974.38,0.0,6,,1,2014-03-12,top_bottom_regions_v1
sse_composite_medium_bottom_20140312,sse_composite_medium_bottom_20140312_lobe_02,sse_composite,上证指数,bottom,medium,2,2014-03-19,2014-03-21,3431,3433,2014-03-21,3433,1986.07,0.005920846037743344,3,1,0,,top_bottom_regions_v1
sse_composite_medium_top_20141209,sse_composite_medium_top_20141209_lobe_01,sse_composite,上证指数,top,medium,1,2014-12-08,2014-12-09,3609,3610,2014-12-09,3610,3091.32,0.0,2,,1,2014-12-09,top_bottom_regions_v1
sse_composite_medium_bottom_20141210,sse_composite_medium_bottom_20141210_lobe_01,sse_composite,上证指数,bottom,medium,1,2014-12-10,2014-12-10,3611,3611,2014-12-10,3611,2807.68,0.0,1,,1,2014-12-10,top_bottom_regions_v1
sse_composite_medium_top_20150109,sse_composite_medium_top_20150109_lobe_01,sse_composite,上证指数,top,medium,1,2015-01-05,2015-01-09,3627,3631,2015-01-09,3631,3404.83,0.0,5,,1,2015-01-09,top_bottom_regions_v1
sse_composite_medium_bottom_20150119,sse_composite_medium_bottom_20150119_lobe_01,sse_composite,上证指数,bottom,medium,1,2015-01-19,2015-01-20,3637,3638,2015-01-19,3637,3095.07,0.0,2,,1,2015-01-19,top_bottom_regions_v1
sse_composite_medium_top_20150123,sse_composite_medium_top_20150123_lobe_01,sse_composite,上证指数,top,medium,1,2015-01-22,2015-01-28,3640,3644,2015-01-23,3641,3406.79,0.0,5,,1,2015-01-23,top_bottom_regions_v1
sse_composite_medium_bottom_20150209,sse_composite_medium_bottom_20150209_lobe_01,sse_composite,上证指数,bottom,medium,1,2015-02-06,2015-02-10,3651,3653,2015-02-09,3652,3049.11,0.0,3,,1,2015-02-09,top_bottom_regions_v1
sse_composite_medium_top_20150428,sse_composite_medium_top_20150428_lobe_01,sse_composite,上证指数,top,medium,1,2015-04-27,2015-05-04,3701,3705,2015-04-28,3702,4572.39,0.0,5,,1,2015-04-28,top_bottom_regions_v1
sse_composite_medium_bottom_20150508,sse_composite_medium_bottom_20150508_lobe_01,sse_composite,上证指数,bottom,medium,1,2015-05-07,2015-05-08,3708,3709,2015-05-08,3709,4099.04,0.0,2,,1,2015-05-08,top_bottom_regions_v1
sse_composite_medium_top_20150528,sse_composite_medium_top_20150528_lobe_01,sse_composite,上证指数,top,medium,1,2015-05-26,2015-05-28,3721,3723,2015-05-28,3723,4986.5,0.0,3,,1,2015-05-28,top_bottom_regions_v1
