fold_id,test_year,model_id,direction,bin_number,bin_lower,bin_upper,rows,mean_predicted_probability,observed_rate,absolute_gap,probability_status
wf_cal3_2022,2022,shallow_gbdt,bottom,5,0.5,0.6,17,0.5360440534470337,0.17647058823529413,0.3595734652117395,calibrated
wf_cal3_2023,2023,elastic_net,top,0,0.0,0.1,211,0.026921492724043063,0.04265402843601896,0.015732535711975897,calibrated
wf_cal3_2023,2023,elastic_net,top,1,0.1,0.2,17,0.1453159281993547,0.35294117647058826,0.20762524827123355,calibrated
wf_cal3_2023,2023,elastic_net,top,2,0.2,0.3,14,0.2438441160345434,0.7857142857142857,0.5418701696797423,calibrated
wf_cal3_2023,2023,elastic_net,bottom,0,0.0,0.1,227,0.02487488627622728,0.0,0.02487488627622728,calibrated
wf_cal3_2023,2023,elastic_net,bottom,1,0.1,0.2,12,0.1341856436521627,0.0,0.1341856436521627,calibrated
wf_cal3_2023,2023,elastic_net,bottom,2,0.2,0.3,2,0.2210867268577607,0.0,0.2210867268577607,calibrated
wf_cal3_2023,2023,elastic_net,bottom,3,0.3,0.4,1,0.31888708231065127,0.0,0.31888708231065127,calibrated
wf_cal3_2023,2023,shallow_gbdt,top,0,0.0,0.1,216,0.020422429184716158,0.037037037037037035,0.016614607852320877,calibrated
wf_cal3_2023,2023,shallow_gbdt,top,1,0.1,0.2,21,0.14948635306731836,0.6190476190476191,0.4695612659803007,calibrated
wf_cal3_2023,2023,shallow_gbdt,top,2,0.2,0.3,5,0.2421280874332555,1.0,0.7578719125667445,calibrated
wf_cal3_2023,2023,shallow_gbdt,bottom,0,0.0,0.1,188,0.012940117123012658,0.0,0.012940117123012658,calibrated
wf_cal3_2023,2023,shallow_gbdt,bottom,1,0.1,0.2,20,0.13540399802068465,0.0,0.13540399802068465,calibrated
wf_cal3_2023,2023,shallow_gbdt,bottom,2,0.2,0.3,34,0.24922570620125636,0.0,0.24922570620125636,calibrated
wf_cal3_2024,2024,elastic_net,top,0,0.0,0.1,150,0.016147840004622514,0.013333333333333334,0.00281450667128918,calibrated
wf_cal3_2024,2024,elastic_net,top,1,0.1,0.2,20,0.16582991546125236,0.15,0.01582991546125237,calibrated
wf_cal3_2024,2024,elastic_net,top,2,0.2,0.3,18,0.2607334437538673,0.16666666666666666,0.09406677708720065,calibrated
wf_cal3_2024,2024,elastic_net,top,3,0.3,0.4,7,0.34407364470955976,0.7142857142857143,0.37021206957615455,calibrated
wf_cal3_2024,2024,elastic_net,top,4,0.4,0.5,17,0.45162901129279653,0.23529411764705882,0.2163348936457377,calibrated
wf_cal3_2024,2024,elastic_net,top,5,0.5,0.6,12,0.5562402909764896,0.08333333333333333,0.4729069576431563,calibrated
wf_cal3_2024,2024,elastic_net,top,6,0.6,0.7,8,0.6584022019207567,0.375,0.2834022019207567,calibrated
wf_cal3_2024,2024,elastic_net,top,7,0.7,0.8,6,0.7510713459610393,0.16666666666666666,0.5844046792943727,calibrated
wf_cal3_2024,2024,elastic_net,top,8,0.8,0.9,3,0.8486280941867181,0.3333333333333333,0.5152947608533849,calibrated
wf_cal3_2024,2024,elastic_net,top,9,0.9,1.0,1,0.9412349752795609,1.0,0.058765024720439096,calibrated
wf_cal3_2024,2024,elastic_net,bottom,0,0.0,0.1,228,0.024211544775883505,0.06140350877192982,0.037191963996046316,calibrated
wf_cal3_2024,2024,elastic_net,bottom,1,0.1,0.2,7,0.12165966270452751,0.0,0.12165966270452751,calibrated
wf_cal3_2024,2024,elastic_net,bottom,2,0.2,0.3,3,0.2604569840781006,0.3333333333333333,0.07287634925523273,calibrated
wf_cal3_2024,2024,elastic_net,bottom,3,0.3,0.4,2,0.316249868709539,0.0,0.316249868709539,calibrated
