fold_id,test_year,model_id,direction,horizon_trade_days,rows,positives,prevalence,brier_score,log_loss,roc_auc,average_precision,target_semantics,probability_status,expected_calibration_error
wf_cal3_2021,2021,shallow_gbdt,top,0,243,18,0.07407407407407407,0.061700267100423596,0.22467399353980855,0.8390123456790124,0.34920157219098513,today_strict_lobe_membership,calibrated,0.04208534243628025
wf_cal3_2021,2021,shallow_gbdt,bottom,0,243,8,0.03292181069958848,0.03155526110278368,0.13232318473332516,0.9401595744680851,0.24513158456745693,today_strict_lobe_membership,calibrated,0.029874192707648337
wf_cal3_2022,2022,elastic_net,top,0,242,11,0.045454545454545456,0.03935091784512587,0.14954254140522746,0.90633608815427,0.35124873464853523,today_strict_lobe_membership,calibrated,0.0373125570073382
wf_cal3_2022,2022,elastic_net,bottom,0,242,9,0.0371900826446281,0.04088728472128829,0.15047056390057287,0.849308536003815,0.43095320369846807,today_strict_lobe_membership,calibrated,0.05045978857916573
wf_cal3_2022,2022,shallow_gbdt,top,0,242,11,0.045454545454545456,0.041358740055094205,0.15117951996308265,0.8358913813459268,0.13564693370918732,today_strict_lobe_membership,calibrated,0.016246323617101727
wf_cal3_2022,2022,shallow_gbdt,bottom,0,242,9,0.0371900826446281,0.058873973678932344,0.18884371137468817,0.8588459704339533,0.14729222858485858,today_strict_lobe_membership,calibrated,0.0856842937791174
wf_cal3_2023,2023,elastic_net,top,0,242,26,0.10743801652892562,0.07798192100335781,0.247098183718772,0.9396367521367521,0.7400396076962285,today_strict_lobe_membership,calibrated,0.05965031665848875
wf_cal3_2023,2023,elastic_net,bottom,0,242,0,0.0,0.002701552631653337,0.034645825181266306,,,today_strict_lobe_membership,calibrated,0.03313176629981702
wf_cal3_2023,2023,shallow_gbdt,top,0,242,26,0.10743801652892562,0.07831148192313198,0.22800104949240005,0.9779202279202279,0.8382836989568734,today_strict_lobe_membership,calibrated,0.07123512993603862
wf_cal3_2023,2023,shallow_gbdt,bottom,0,242,0,0.0,0.01071931228356011,0.06261997751667531,,,today_strict_lobe_membership,calibrated,0.056258247894143756
wf_cal3_2024,2024,elastic_net,top,0,242,24,0.09917355371900827,0.09995190938517613,0.29623888026077017,0.8335244648318042,0.32164786310916665,today_strict_lobe_membership,calibrated,0.08989393581251827
wf_cal3_2024,2024,elastic_net,bottom,0,242,16,0.06611570247933884,0.06219135198032551,0.2834450798050794,0.5547566371681416,0.15367438177149606,today_strict_lobe_membership,calibrated,0.042848352299982725
wf_cal3_2024,2024,shallow_gbdt,top,0,242,24,0.09917355371900827,0.08195814358716784,0.2739195538844999,0.823394495412844,0.3352368485447453,today_strict_lobe_membership,calibrated,0.041033179664020994
wf_cal3_2024,2024,shallow_gbdt,bottom,0,242,16,0.06611570247933884,0.0611826472598555,0.2408257778928815,0.6995298672566371,0.11036079507346458,today_strict_lobe_membership,calibrated,0.039200425762384
wf_cal3_2025,2025,elastic_net,top,0,243,17,0.06995884773662552,0.07419852186942072,0.2587507986141384,0.756376887038001,0.13929686307564684,today_strict_lobe_membership,calibrated,0.07573821351824395
wf_cal3_2025,2025,elastic_net,bottom,0,243,9,0.037037037037037035,0.0306719265736363,0.10640770027997822,0.9924026590693258,0.8164073036622057,today_strict_lobe_membership,calibrated,0.01482109619841079
wf_cal3_2025,2025,shallow_gbdt,top,0,243,17,0.06995884773662552,0.08220613267894286,0.27590917780927654,0.7462259239979178,0.13399168001375694,today_strict_lobe_membership,calibrated,0.0969288439770292
wf_cal3_2025,2025,shallow_gbdt,bottom,0,243,9,0.037037037037037035,0.030767597293661297,0.09854869810886195,0.9940645773979108,0.8319444444444445,today_strict_lobe_membership,calibrated,0.02257301259179817
wf_cal3_2026,2026,elastic_net,top,0,149,26,0.174496644295302,0.1397480537131957,0.4328203605006596,0.7720450281425891,0.3280750404926492,today_strict_lobe_membership,calibrated,0.09051192050444454
wf_cal3_2026,2026,elastic_net,bottom,0,149,9,0.06040268456375839,0.04940384918582781,0.168667298219993,0.9333333333333333,0.5155147970937445,today_strict_lobe_membership,calibrated,0.024810203747611868
wf_cal3_2026,2026,shallow_gbdt,top,0,149,26,0.174496644295302,0.12770925289983792,0.39673261846581814,0.8176985616010006,0.4476505253294947,today_strict_lobe_membership,calibrated,0.08051240296734731
wf_cal3_2026,2026,shallow_gbdt,bottom,0,149,9,0.06040268456375839,0.047778967180733115,0.1462122067551138,0.9658730158730159,0.5910571300044984,today_strict_lobe_membership,calibrated,0.03382763255192302
