above_count_ma120,above_count_ma20,above_count_ma60,base_valid_count,base_valid_missing_industry_count,breadth_ma120,breadth_ma20,breadth_ma60,close_missing_count,date,four_industry_present_count,four_industry_top1_ids,four_industry_top1_triggered,insufficient_history_count_ma120,insufficient_history_count_ma20,insufficient_history_count_ma60,paused_count,paused_status_missing_count,ranked_industry_count_ma20,st_count,st_status_missing_count,target_bank_breadth_ma20,target_bank_expected_name,target_bank_industry_code,target_bank_industry_name,target_bank_is_top1_ma20,target_bank_mapping_count,target_bank_rank_ma20,target_bank_valid_count_ma20,target_coal_breadth_ma20,target_coal_expected_name,target_coal_industry_code,target_coal_industry_name,target_coal_is_top1_ma20,target_coal_mapping_count,target_coal_rank_ma20,target_coal_valid_count_ma20,target_nonferrous_breadth_ma20,target_nonferrous_expected_name,target_nonferrous_industry_code,target_nonferrous_industry_name,target_nonferrous_is_top1_ma20,target_nonferrous_mapping_count,target_nonferrous_rank_ma20,target_nonferrous_valid_count_ma20,target_steel_breadth_ma20,target_steel_expected_name,target_steel_industry_code,target_steel_industry_name,target_steel_is_top1_ma20,target_steel_mapping_count,target_steel_rank_ma20,target_steel_valid_count_ma20,top1_industry_codes_ma20,top1_industry_names_ma20,top1_tie_count_ma20,universe_size,valid_count_ma120,valid_count_ma20,valid_count_ma60
1094,852,878,1972,0,0.5547667343,0.4320486815,0.4452332657,0,2012-05-29,2,,False,0,0,0,60,0,23,24,0,,银行,,,False,0,,0,,煤炭,,,False,0,,0,0.6417910448,有色金属,801050,有色金属I,False,1,3,67,0.724137931,钢铁,801040,钢铁I,False,1,2,29,801060,建筑建材I,1,2054,1972,1972,1972
1129,912,911,1978,0,0.5707785642,0.4610717897,0.4605662285,0,2012-05-30,2,,False,0,0,0,55,0,23,24,0,,银行,,,False,0,,0,,煤炭,,,False,0,,0,0.6060606061,有色金属,801050,有色金属I,False,1,4,66,0.625,钢铁,801040,钢铁I,False,1,3,32,801060,建筑建材I,1,2054,1978,1978,1978
1150,975,933,1978,0,0.5813953488,0.4929221436,0.4716885743,0,2012-05-31,2,,False,0,0,0,54,0,23,24,0,,银行,,,False,0,,0,,煤炭,,,False,0,,0,0.6060606061,有色金属,801050,有色金属I,False,1,3,66,0.4375,钢铁,801040,钢铁I,False,1,13,32,801060,建筑建材I,1,2054,1978,1978,1978
1132,968,933,1987,0,0.56970307,0.4871665828,0.4695520886,0,2012-06-01,2,,False,0,0,0,46,0,23,24,0,,银行,,,False,0,,0,,煤炭,,,False,0,,0,0.7164179104,有色金属,801050,有色金属I,False,1,2,67,0.34375,钢铁,801040,钢铁I,False,1,21,32,801060,建筑建材I,1,2054,1987,1987,1987
839,430,584,1987,0,0.4222445898,0.2164066432,0.2939104177,0,2012-06-04,2,,False,0,0,0,47,0,23,24,0,,银行,,,False,0,,0,,煤炭,,,False,0,,0,0.3125,有色金属,801050,有色金属I,False,1,4,64,0.09375,钢铁,801040,钢铁I,False,1,20,32,801120,食品饮料I,1,2054,1987,1987,1987
853,437,587,1985,0,0.4297229219,0.2201511335,0.2957178841,0,2012-06-05,2,,False,0,0,0,49,0,23,24,0,,银行,,,False,0,,0,,煤炭,,,False,0,,0,0.2835820896,有色金属,801050,有色金属I,False,1,5,67,0.0625,钢铁,801040,钢铁I,False,1,22,32,801150,医药生物I,1,2054,1985,1985,1985
816,407,571,1978,0,0.4125379171,0.2057633974,0.2886754297,0,2012-06-06,2,,False,0,0,0,56,0,23,24,0,,银行,,,False,0,,0,,煤炭,,,False,0,,0,0.3333333333,有色金属,801050,有色金属I,False,1,4,66,0.06896551724,钢铁,801040,钢铁I,False,1,22,29,801120,食品饮料I,1,2054,1978,1978,1978
772,387,545,1991,0,0.3877448518,0.1943746861,0.2737317931,0,2012-06-07,2,,False,0,0,0,44,0,23,24,0,,银行,,,False,0,,0,,煤炭,,,False,0,,0,0.2941176471,有色金属,801050,有色金属I,False,1,4,68,0.09375,钢铁,801040,钢铁I,False,1,19,32,801160,公用事业I,1,2054,1991,1991,1991
752,369,527,1966,0,0.3825025432,0.1876907426,0.2680569685,0,2012-06-08,2,,False,0,0,0,69,0,23,24,0,,银行,,,False,0,,0,,煤炭,,,False,0,,0,0.2121212121,有色金属,801050,有色金属I,False,1,7,66,0.06451612903,钢铁,801040,钢铁I,False,1,21,31,801160,公用事业I,1,2054,1966,1966,1966
896,605,648,1989,0,0.4504776269,0.3041729512,0.3257918552,0,2012-06-11,2,,False,0,0,0,46,0,23,24,0,,银行,,,False,0,,0,,煤炭,,,False,0,,0,0.328358209,有色金属,801050,有色金属I,False,1,6,67,0.09090909091,钢铁,801040,钢铁I,False,1,21,33,801160,公用事业I,1,2054,1989,1989,1989
