above_count_ma120,above_count_ma20,above_count_ma60,base_valid_count,breadth_ma120,breadth_ma20,breadth_ma60,date,industry_code,industry_name,universe_count,valid_count_ma120,valid_count_ma20,valid_count_ma60,rank_eligible_ma20,rank_ma20,is_top1_ma20,target_id,is_target_industry
5,67,9,78,0.0641025641,0.858974359,0.1153846154,2012-01-17,801170,交通运输I,80,78,78,78,True,4,False,,False
7,99,14,131,0.0534351145,0.7557251908,0.106870229,2012-01-17,801180,房地产I,135,131,131,131,True,6,False,,False
15,40,18,41,0.3658536585,0.9756097561,0.4390243902,2012-01-17,801190,金融服务I,44,41,41,41,True,1,True,,False
2,46,4,82,0.0243902439,0.5609756098,0.0487804878,2012-01-17,801200,商业贸易I,88,82,82,82,True,11,False,,False
2,10,0,24,0.08333333333,0.4166666667,0,2012-01-17,801210,休闲服务I,25,24,24,24,True,16,False,,False
13,26,6,106,0.1238095238,0.2452830189,0.05660377358,2012-01-17,801220,信息服务I,107,105,106,106,True,23,False,,False
0,18,1,29,0,0.6206896552,0.03448275862,2012-01-17,801230,综合I,31,29,29,29,True,8,False,,False
1,13,2,68,0.01492537313,0.1911764706,0.02941176471,2012-01-18,801010,农林牧渔I,70,67,68,68,True,20,False,,False
5,41,11,48,0.1041666667,0.8541666667,0.2291666667,2012-01-18,801020,采掘I,50,48,48,48,True,4,False,,False
4,92,5,199,0.02010050251,0.4623115578,0.02512562814,2012-01-18,801030,化工I,204,199,199,199,True,11,False,,False
0,31,3,34,0,0.9117647059,0.08823529412,2012-01-18,801040,钢铁I,35,34,34,34,True,2,False,steel,True
3,62,17,70,0.04285714286,0.8857142857,0.2428571429,2012-01-18,801050,有色金属I,70,70,70,70,True,3,False,nonferrous,True
2,52,3,95,0.02105263158,0.5473684211,0.03157894737,2012-01-18,801060,建筑建材I,97,95,95,95,True,7,False,,False
2,77,10,273,0.007326007326,0.2820512821,0.03663003663,2012-01-18,801070,机械设备I,275,273,273,273,True,15,False,,False
1,27,1,103,0.009708737864,0.2621359223,0.009708737864,2012-01-18,801080,电子I,104,103,103,103,True,17,False,,False
3,55,10,107,0.02830188679,0.5140186916,0.09345794393,2012-01-18,801090,交运设备I,107,106,107,107,True,8,False,,False
4,14,4,74,0.05405405405,0.1891891892,0.05405405405,2012-01-18,801100,信息设备I,76,74,74,74,True,21,False,,False
1,17,4,35,0.02941176471,0.4857142857,0.1142857143,2012-01-18,801110,家用电器I,35,34,35,35,True,10,False,,False
0,11,0,50,0,0.22,0,2012-01-18,801120,食品饮料I,51,50,50,50,True,18,False,,False
1,18,2,64,0.015625,0.28125,0.03125,2012-01-18,801130,纺织服装I,65,64,64,64,True,16,False,,False
0,23,1,70,0,0.3285714286,0.01428571429,2012-01-18,801140,轻工制造I,72,70,70,70,True,14,False,,False
4,20,2,148,0.02721088435,0.1351351351,0.01351351351,2012-01-18,801150,医药生物I,155,147,148,148,True,23,False,,False
11,35,12,80,0.1375,0.4375,0.15,2012-01-18,801160,公用事业I,81,80,80,80,True,12,False,,False
5,57,6,79,0.06329113924,0.7215189873,0.07594936709,2012-01-18,801170,交通运输I,80,79,79,79,True,5,False,,False
5,67,14,132,0.03787878788,0.5075757576,0.1060606061,2012-01-18,801180,房地产I,135,132,132,132,True,9,False,,False
14,39,17,41,0.3414634146,0.9512195122,0.4146341463,2012-01-18,801190,金融服务I,44,41,41,41,True,1,True,,False
1,31,3,84,0.0119047619,0.369047619,0.03571428571,2012-01-18,801200,商业贸易I,88,84,84,84,True,13,False,,False
0,5,0,23,0,0.2173913043,0,2012-01-18,801210,休闲服务I,25,23,23,23,True,19,False,,False
5,17,3,106,0.04761904762,0.1603773585,0.02830188679,2012-01-18,801220,信息服务I,107,105,106,106,True,22,False,,False
0,18,0,30,0,0.6,0,2012-01-18,801230,综合I,31,30,30,30,True,6,False,,False
1,18,2,69,0.01470588235,0.2608695652,0.02898550725,2012-01-19,801010,农林牧渔I,70,68,69,69,True,20,False,,False
6,41,13,48,0.125,0.8541666667,0.2708333333,2012-01-19,801020,采掘I,50,48,48,48,True,4,False,,False
3,104,5,199,0.01507537688,0.5226130653,0.02512562814,2012-01-19,801030,化工I,204,199,199,199,True,13,False,,False
1,33,3,35,0.02857142857,0.9428571429,0.08571428571,2012-01-19,801040,钢铁I,35,35,35,35,True,2,False,steel,True
1,61,22,68,0.01470588235,0.8970588235,0.3235294118,2012-01-19,801050,有色金属I,70,68,68,68,True,3,False,nonferrous,True
2,58,4,96,0.02083333333,0.6041666667,0.04166666667,2012-01-19,801060,建筑建材I,97,96,96,96,True,9,False,,False
2,99,12,274,0.007299270073,0.3613138686,0.04379562044,2012-01-19,801070,机械设备I,275,274,274,274,True,17,False,,False
0,31,1,103,0,0.3009708738,0.009708737864,2012-01-19,801080,电子I,104,103,103,103,True,18,False,,False
7,70,13,107,0.06603773585,0.6542056075,0.1214953271,2012-01-19,801090,交运设备I,107,106,107,107,True,8,False,,False
4,19,3,74,0.05405405405,0.2567567568,0.04054054054,2012-01-19,801100,信息设备I,76,74,74,74,True,21,False,,False
1,20,6,35,0.02941176471,0.5714285714,0.1714285714,2012-01-19,801110,家用电器I,35,34,35,35,True,10,False,,False
0,15,0,51,0,0.2941176471,0,2012-01-19,801120,食品饮料I,51,51,51,51,True,19,False,,False
1,27,2,64,0.015625,0.421875,0.03125,2012-01-19,801130,纺织服装I,65,64,64,64,True,15,False,,False
1,31,0,70,0.01428571429,0.4428571429,0,2012-01-19,801140,轻工制造I,72,70,70,70,True,14,False,,False
3,31,2,148,0.02040816327,0.2094594595,0.01351351351,2012-01-19,801150,医药生物I,155,147,148,148,True,22,False,,False
11,44,11,80,0.1375,0.55,0.1375,2012-01-19,801160,公用事业I,81,80,80,80,True,12,False,,False
6,67,9,79,0.07594936709,0.8481012658,0.1139240506,2012-01-19,801170,交通运输I,80,79,79,79,True,5,False,,False
8,101,16,133,0.06015037594,0.7593984962,0.1203007519,2012-01-19,801180,房地产I,135,133,133,133,True,6,False,,False
17,40,21,41,0.4146341463,0.9756097561,0.512195122,2012-01-19,801190,金融服务I,44,41,41,41,True,1,True,,False
