ID,S,st,r,ar,ma,v,ls,fl,slday,fm,Return,Ann.Ret,MaxDD,Calmar,Sharpe,Volatility,WinRate,Trades,AvgHoldDays,Turnover
round1b_switches_S0-5_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rF-.4_sldayT-3__0108e0,"[0, 5]",-,-,✓,-,-,✓,✓,✓,F/F/T,-15.3%,-39.6%,33.5%,-1.18,-0.98,44.6%,45.1%,51,2.3,0.62
round2_fine_tuning_S0-5_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.3_sldayT-3__d1479f,"[0, 5]",-,0.3,✓,-,-,✓,✓,✓,F/F/T,-15.3%,-39.6%,33.5%,-1.18,-0.98,44.6%,45.1%,51,2.3,0.62
round2_fine_tuning_S0-5_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.5_sldayT-3__d477d4,"[0, 5]",-,0.5,✓,-,0.8,✓,✓,✓,F/F/T,-16.0%,-41.2%,27.8%,-1.48,-1.16,38.8%,47.9%,48,2.6,0.58
round2b_fine_tuning_S0-4_arF-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.5_sldayT-3__617928,"[0, 4]",-,0.5,-,-,0.8,✓,✓,✓,F/F/T,-16.3%,-41.8%,23.5%,-1.77,-1.16,39.6%,43.9%,57,2.1,0.69
round1a_switches_S0-5_arF-1_flT-.95_fmF-F-T_lsF-.97_maT-20_rF-.4_sldayF-3__279873,"[0, 5]",-,-,-,✓,-,-,✓,-,F/F/T,-16.6%,-42.5%,25.0%,-1.70,-1.00,46.7%,42.1%,57,2.1,0.70
round1b_switches_S0-5_arF-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rF-.4_sldayT-3__a78404,"[0, 5]",-,-,-,-,-,✓,✓,✓,F/F/T,-16.6%,-42.5%,34.6%,-1.23,-1.03,45.0%,44.2%,52,2.3,0.63
round2c_Ashare_S0-5_arT-1_flT-.95_fmF-T-T_lsT-.97_maF-20_rT-.4_sldayT-3__1b561c,"[0, 5]",-,0.4,✓,-,1.5,✓,✓,✓,F/T/T,-17.1%,-43.6%,33.5%,-1.30,-1.15,41.5%,45.3%,53,2.6,0.65
round1a_switches_S0-5_arF-1_flF-.95_fmF-F-T_lsF-.97_maT-20_rF-.4_sldayF-3__24933a,"[0, 5]",-,-,-,✓,-,-,-,-,F/F/T,-17.2%,-43.9%,25.6%,-1.72,-1.02,47.0%,42.1%,57,2.1,0.70
round2_fine_tuning_S0-5_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.5_sldayT-3__c8c4a2,"[0, 5]",-,0.5,✓,-,-,✓,✓,✓,F/F/T,-17.6%,-44.6%,31.4%,-1.42,-1.13,43.1%,44.0%,50,2.3,0.61
round1b_switches_S0-5_arT-1_flT-.95_fmF-F-T_lsF-.97_maT-20_rF-.4_sldayT-3__3d0fb6,"[0, 5]",-,-,✓,✓,-,-,✓,✓,F/F/T,-17.8%,-44.9%,26.0%,-1.73,-1.12,43.5%,43.4%,53,2.2,0.65
round1b_switches_S0-5_arF-1_flT-.95_fmF-F-T_lsT-.97_maT-20_rF-.4_sldayT-3__d530e8,"[0, 5]",-,-,-,✓,-,✓,✓,✓,F/F/T,-18.0%,-45.4%,35.7%,-1.27,-1.10,44.9%,42.3%,52,2.3,0.63
round2c_Ashare_S0-5_arT-1_flT-.95_fmF-T-T_lsT-.97_maF-20_rT-.4_sldayT-3__879e3c,"[0, 5]",-,0.4,✓,-,2,✓,✓,✓,F/T/T,-18.1%,-45.7%,34.3%,-1.33,-1.18,42.0%,45.3%,53,2.5,0.64
round2c_Ashare_S0-5_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.4_sldayT-3__6080a4,"[0, 5]",-,0.4,✓,-,1,✓,✓,✓,F/F/T,-18.3%,-46.0%,30.2%,-1.52,-1.17,42.9%,49.0%,49,2.5,0.59
round2b_fine_tuning_S0-5_arF-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.5_sldayT-3__42e130,"[0, 5]",-,0.5,-,-,0.8,✓,✓,✓,F/F/T,-18.7%,-46.7%,30.1%,-1.55,-1.30,39.1%,46.9%,49,2.6,0.59
round1b_switches_S0-5_arT-1_flT-.95_fmF-F-T_lsF-.97_maF-20_rF-.4_sldayT-3__c20632,"[0, 5]",-,-,✓,-,-,-,✓,✓,F/F/T,-18.8%,-47.0%,26.9%,-1.74,-1.17,43.6%,42.6%,54,2.1,0.66
round2_fine_tuning_S0-4_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.6_sldayT-3__cac59d,"[0, 4]",-,0.6,✓,-,0.8,✓,✓,✓,F/F/T,-19.4%,-48.2%,20.3%,-2.37,-1.40,37.3%,42.9%,56,2.2,0.68
round2_fine_tuning_S0-5_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rF-.4_sldayT-3__af60d3,"[0, 5]",-,-,✓,-,1,✓,✓,✓,F/F/T,-19.6%,-48.6%,31.3%,-1.55,-1.22,43.0%,49.0%,49,2.5,0.59
round2_fine_tuning_S0-5_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.6_sldayT-3__de192a,"[0, 5]",-,0.6,✓,-,-,✓,✓,✓,F/F/T,-19.9%,-49.1%,28.5%,-1.72,-1.37,38.8%,42.9%,49,2.4,0.60
round2_fine_tuning_S0-5_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.6_sldayT-3__f6a956,"[0, 5]",-,0.6,✓,-,0.8,✓,✓,✓,F/F/T,-19.9%,-49.2%,23.7%,-2.08,-1.57,34.0%,47.9%,48,2.6,0.58
round1b_switches_S0-5_arF-1_flT-.95_fmF-F-T_lsF-.97_maF-20_rF-.4_sldayT-3__9fc27f,"[0, 5]",-,-,-,-,-,-,✓,✓,F/F/T,-20.0%,-49.3%,28.0%,-1.76,-1.22,43.8%,41.8%,55,2.0,0.67
round1b_switches_S0-5_arF-1_flT-.95_fmF-F-T_lsF-.97_maT-20_rF-.4_sldayT-3__ead6ba,"[0, 5]",-,-,-,✓,-,-,✓,✓,F/F/T,-20.5%,-50.3%,28.5%,-1.77,-1.24,43.8%,40.7%,54,2.2,0.66
round2b_fine_tuning_S0-5_arF-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rF-.4_sldayT-3__01362b,"[0, 5]",-,-,-,-,1,✓,✓,✓,F/F/T,-20.9%,-51.1%,32.4%,-1.57,-1.27,43.4%,48.0%,50,2.5,0.60
round2_fine_tuning_S0-5_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.4_sldayT-3__1fed29,"[0, 5]",-,0.4,✓,-,1.2,✓,✓,✓,F/F/T,-21.8%,-52.7%,31.8%,-1.66,-1.38,41.0%,45.8%,48,2.6,0.58
round2_fine_tuning_S0-5_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.5_sldayT-3__7941aa,"[0, 5]",-,0.5,✓,-,1,✓,✓,✓,F/F/T,-21.9%,-52.9%,29.1%,-1.81,-1.38,41.3%,47.9%,48,2.5,0.58
round2_fine_tuning_S0-5_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.4_sldayT-3__59f151,"[0, 5]",-,0.4,✓,-,1.5,✓,✓,✓,F/F/T,-22.5%,-54.0%,32.4%,-1.66,-1.42,40.9%,44.0%,50,2.5,0.61
round2_fine_tuning_S0-5_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rF-.4_sldayT-3__649f18,"[0, 5]",-,-,✓,-,1.2,✓,✓,✓,F/F/T,-23.0%,-55.0%,32.9%,-1.67,-1.43,41.2%,45.8%,48,2.6,0.58
round2b_fine_tuning_S0-5_arF-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.3_sldayT-3__3286f3,"[0, 5]",-,0.3,-,-,1.2,✓,✓,✓,F/F/T,-24.3%,-57.2%,34.0%,-1.68,-1.47,41.6%,44.9%,49,2.6,0.59
round2b_fine_tuning_S0-5_arF-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.3_sldayT-3__8f0338,"[0, 5]",-,0.3,-,-,1.5,✓,✓,✓,F/F/T,-25.0%,-58.4%,34.6%,-1.69,-1.51,41.4%,43.1%,51,2.5,0.62
round2b_fine_tuning_S0-5_arF-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.6_sldayT-3__aa90fe,"[0, 5]",-,0.6,-,-,1,✓,✓,✓,F/F/T,-25.4%,-59.1%,26.1%,-2.27,-1.73,36.4%,46.8%,47,2.5,0.57
round2_fine_tuning_S0-5_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.5_sldayT-3__c6d49f,"[0, 5]",-,0.5,✓,-,1.5,✓,✓,✓,F/F/T,-25.9%,-59.9%,31.4%,-1.91,-1.63,39.3%,42.9%,49,2.5,0.59
round2_fine_tuning_S0-5_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.4_sldayT-3__8d8e9f,"[0, 5]",-,0.4,✓,-,2,✓,✓,✓,F/F/T,-26.5%,-60.9%,36.0%,-1.69,-1.55,41.8%,43.1%,51,2.4,0.62
round2_fine_tuning_S0-5_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.3_sldayT-3__c30f20,"[0, 5]",-,0.3,✓,-,2,✓,✓,✓,F/F/T,-27.7%,-62.8%,37.0%,-1.70,-1.59,41.9%,43.1%,51,2.4,0.62
round2b_fine_tuning_S0-5_arF-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.4_sldayT-3__55647d,"[0, 5]",-,0.4,-,-,2,✓,✓,✓,F/F/T,-29.6%,-65.7%,38.6%,-1.70,-1.66,42.1%,40.4%,52,2.4,0.63
round2_fine_tuning_S0-5_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.5_sldayT-3__c42cc5,"[0, 5]",-,0.5,✓,-,2,✓,✓,✓,F/F/T,-29.7%,-65.9%,35.0%,-1.88,-1.74,40.2%,42.0%,50,2.4,0.61
round2_fine_tuning_S0-5_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.6_sldayT-3__e4fafb,"[0, 5]",-,0.6,✓,-,2,✓,✓,✓,F/F/T,-31.7%,-68.7%,32.2%,-2.13,-2.05,35.5%,40.8%,49,2.5,0.60
round2b_fine_tuning_S0-5_arF-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.5_sldayT-3__6dd54d,"[0, 5]",-,0.5,-,-,2,✓,✓,✓,F/F/T,-32.0%,-69.1%,37.1%,-1.87,-1.81,40.4%,41.2%,51,2.4,0.62
