ID,S,st,r,ar,ma,v,ls,fl,slday,fm,Return,Ann.Ret,MaxDD,Calmar,Sharpe,Volatility,WinRate,Trades,AvgHoldDays,Turnover
round2_fine_tuning_S0-8_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.3_sldayT-3__ae8c83,"[0, 8]",-,0.3,✓,-,1,✓,✓,✓,F/F/T,32.9%,138.2%,22.7%,6.09,2.65,50.6%,54.2%,48,2.4,0.59
round1c_close_Ashare_S0-5_arT-1_flT-.95_fmT-F-T_lsT-.97_maF-20_rF-.4_sldayT-3__c96042,"[0, 5]",✓,-,✓,-,-,✓,✓,✓,T/F/T,32.5%,135.9%,12.6%,10.76,3.38,39.0%,54.3%,35,3.9,0.44
round1c_close_Ashare_S0-5_arT-1_flT-.95_fmT-F-T_lsT-.97_maT-20_rF-.4_sldayT-3__917a78,"[0, 5]",✓,-,✓,✓,-,✓,✓,✓,T/F/T,32.5%,135.9%,12.6%,10.76,3.38,39.0%,54.3%,35,3.9,0.44
round2b_fine_tuning_S0-8_arF-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rF-.4_sldayT-3__acfbd7,"[0, 8]",-,-,-,-,1.5,✓,✓,✓,F/F/T,31.1%,128.6%,24.0%,5.37,2.47,50.4%,54.0%,50,2.5,0.61
round2b_fine_tuning_S0-10_arF-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.6_sldayT-3_fb102e,"[0, 10]",-,0.6,-,-,1.2,✓,✓,✓,F/F/T,31.0%,127.6%,16.3%,7.84,2.57,48.2%,48.9%,45,2.5,0.56
round2_fine_tuning_S0-8_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.3_sldayT-3__f1e7a5,"[0, 8]",-,0.3,✓,-,-,✓,✓,✓,F/F/T,30.9%,127.5%,21.7%,5.87,2.42,51.1%,55.1%,49,2.6,0.60
round2_fine_tuning_S0-8_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rF-.4_sldayT-3__aef31a,"[0, 8]",-,-,✓,-,-,✓,✓,✓,F/F/T,30.9%,127.5%,21.7%,5.87,2.42,51.1%,55.1%,49,2.6,0.60
round2_fine_tuning_S0-10_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.6_sldayT-3_4273ee,"[0, 10]",-,0.6,✓,-,1.2,✓,✓,✓,F/F/T,30.9%,127.2%,16.3%,7.82,2.56,48.2%,48.9%,45,2.6,0.56
round2b_fine_tuning_S0-8_arF-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.3_sldayT-3__f11a89,"[0, 8]",-,0.3,-,-,1,✓,✓,✓,F/F/T,30.8%,126.6%,23.9%,5.29,2.40,51.1%,53.1%,49,2.4,0.60
round2b_fine_tuning_S0-8_arF-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.4_sldayT-3__949627,"[0, 8]",-,0.4,-,-,1.5,✓,✓,✓,F/F/T,29.9%,121.9%,24.7%,4.93,2.34,50.3%,52.0%,50,2.5,0.61
