ID,S,st,r,ar,ma,v,ls,fl,slday,fm,Return,Ann.Ret,MaxDD,Calmar,Sharpe,Volatility,WinRate,Trades,AvgHoldDays,Turnover,Y2023,Y2024,Y2025,Y2026
round2_fine_tuning_S0-5_rT-.6_vT-5-2,"[0, 5]",-,0.6,✓,-,2,✓,✓,✓,F/F/T,373.6%,66.7%,30.7%,2.18,2.01,31.2%,48.7%,339,5.2,0.49,-3.5%,68.9%,126.0%,28.5%
round2_fine_tuning_S0-5_rT-.5_vF-5-1,"[0, 5]",-,0.5,✓,-,-,✓,✓,✓,F/F/T,331.9%,61.7%,34.9%,1.77,1.77,32.5%,49.9%,337,5.2,0.48,12.8%,25.8%,130.4%,32.1%
round2_fine_tuning_S0-8_rT-.4_vT-5-1.5,"[0, 8]",-,0.4,✓,-,1.5,✓,✓,✓,F/F/T,268.9%,53.6%,31.2%,1.72,1.43,34.6%,52.4%,311,5.8,0.44,-0.7%,6.2%,160.3%,34.3%
round2_fine_tuning_S0-4_rT-.5_vT-5-1.2,"[0, 4]",-,0.5,✓,-,1.2,✓,✓,✓,F/F/T,332.9%,61.8%,27.2%,2.28,1.89,30.7%,52.9%,393,5.0,0.56,6.7%,20.6%,181.7%,19.4%
round2_fine_tuning_S0-8_rT-.3_vF-5-1,"[0, 8]",-,0.3,✓,-,-,✓,✓,✓,F/F/T,249.5%,50.8%,33.7%,1.51,1.32,35.6%,52.0%,300,5.8,0.42,0.4%,-9.7%,161.5%,47.3%
round2_fine_tuning_S0-4_rF-.4_vT-5-1,"[0, 4]",-,-,✓,-,1,✓,✓,✓,F/F/T,272.3%,54.0%,26.6%,2.03,1.62,30.9%,53.1%,418,5.1,0.58,13.8%,17.5%,138.4%,16.8%
round2_fine_tuning_S0-5_rT-.5_vT-5-2,"[0, 5]",-,0.5,✓,-,2,✓,✓,✓,F/F/T,417.9%,71.6%,27.3%,2.63,2.12,31.9%,50.0%,342,5.2,0.49,12.8%,48.0%,136.4%,31.2%
round2_fine_tuning_S0-4_rT-.5_vF-5-1,"[0, 4]",-,0.5,✓,-,-,✓,✓,✓,F/F/T,245.5%,50.3%,34.7%,1.45,1.45,31.8%,52.3%,369,5.0,0.52,5.7%,4.3%,157.8%,21.6%
round2_fine_tuning_S0-4_rT-.3_vT-5-.8,"[0, 4]",-,0.3,✓,-,0.8,✓,✓,✓,F/F/T,230.4%,48.1%,26.4%,1.82,1.41,31.3%,53.3%,454,5.0,0.62,8.9%,2.3%,172.6%,8.8%
round2_fine_tuning_S0-5_rT-.5_vT-5-1,"[0, 5]",-,0.5,✓,-,1,✓,✓,✓,F/F/T,391.4%,68.7%,28.0%,2.45,2.08,31.0%,50.8%,384,5.3,0.54,11.3%,37.0%,148.4%,29.7%
round2_fine_tuning_S0-10_rF-.4_vT-5-1.5,"[0, 10]",-,-,✓,-,1.5,✓,✓,✓,F/F/T,228.6%,47.8%,28.9%,1.65,1.22,35.9%,49.5%,307,5.7,0.44,4.1%,8.0%,132.0%,26.0%
round2_fine_tuning_S0-8_rT-.4_vT-5-1.2,"[0, 8]",-,0.4,✓,-,1.2,✓,✓,✓,F/F/T,256.9%,51.9%,34.4%,1.51,1.42,33.8%,52.4%,328,5.7,0.46,-6.6%,0.6%,175.3%,38.1%
round2_fine_tuning_S0-4_rT-.4_vT-5-.8,"[0, 4]",-,0.4,✓,-,0.8,✓,✓,✓,F/F/T,258.1%,52.1%,26.4%,1.97,1.55,31.0%,53.7%,454,5.0,0.63,8.5%,11.3%,172.6%,8.8%
