fold_id,test_year,model_id,direction,horizon_trade_days,rows,positives,prevalence,brier_score,log_loss,roc_auc,average_precision
wf_2019,2019,shallow_xgboost,bottom,20,244,67,0.27459016393442626,0.23233077805890795,0.682767087845204,0.08364954886584025,0.1730192145766363
wf_2020,2020,simple_rule,top,5,243,29,0.11934156378600823,0.11007711492868323,0.38447755344853224,0.23541733805994197,0.0768966924890116
wf_2020,2020,simple_rule,top,10,243,34,0.13991769547325103,0.13206728274888507,0.44139852079949626,0.28722206585983673,0.09917231009560747
wf_2020,2020,simple_rule,top,20,243,41,0.16872427983539096,0.16189402699207467,0.5100364075985434,0.3849311760444337,0.19248877606970893
wf_2020,2020,simple_rule,bottom,5,243,25,0.102880658436214,0.09357656639843272,0.33725558341378864,0.8183486238532109,0.36076359224379045
wf_2020,2020,simple_rule,bottom,10,243,35,0.1440329218106996,0.12465552632638532,0.4170524376122294,0.6998626373626373,0.33959544470045244
wf_2020,2020,simple_rule,bottom,20,243,51,0.20987654320987653,0.17339829165866408,0.5336964181616125,0.5118464052287582,0.2996066296957279
wf_2020,2020,elastic_net,top,5,243,29,0.11934156378600823,0.09648261903380226,0.3323171825803171,0.8216242346116661,0.39257899313523387
wf_2020,2020,elastic_net,top,10,243,34,0.13991769547325103,0.12127110108810658,0.3957035815071538,0.7897551365043625,0.45316969479660646
wf_2020,2020,elastic_net,top,20,243,41,0.16872427983539096,0.19255476580454875,0.5631609060661976,0.7162521130161796,0.4067563943801199
wf_2020,2020,elastic_net,bottom,5,243,25,0.102880658436214,0.09348533981198831,0.531386699888444,0.6236697247706422,0.22500110557409367
wf_2020,2020,elastic_net,bottom,10,243,35,0.1440329218106996,0.1384331883738853,0.9031372198977966,0.4501373626373626,0.19334819942972553
wf_2020,2020,elastic_net,bottom,20,243,51,0.20987654320987653,0.23351482597461481,1.2578813952048222,0.35917075163398693,0.21264154653658984
wf_2020,2020,shallow_xgboost,top,5,243,29,0.11934156378600823,0.09039593394088632,0.3159270432934845,0.8803577183370931,0.6836609127505816
wf_2020,2020,shallow_xgboost,top,10,243,34,0.13991769547325103,0.10801072542035868,0.3656890413200246,0.8478046721080776,0.453535044954666
wf_2020,2020,shallow_xgboost,top,20,243,41,0.16872427983539096,0.1927527625323324,0.5704039682811047,0.6570876599855108,0.28621195837107144
